subject,model,p,v,rel,bin
abstract_algebra,codellama_codellama_34b_instruct,0.31,0.21606060606060593,1.0101010101010095,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.3,0.21212121212121193,1.0101010101010093,0.1-0.3
abstract_algebra,codellama_codellama_34b_instruct,0.29,0.20797979797979768,1.0101010101010088,0.1-0.3
abstract_algebra,codellama_codellama_34b_instruct,0.31,0.21606060606060593,1.0101010101010095,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.31,0.21606060606060593,1.0101010101010095,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.33,0.22333333333333294,1.0101010101010084,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.29,0.20797979797979768,1.0101010101010088,0.1-0.3
abstract_algebra,codellama_codellama_34b_instruct,0.34,0.22666666666666693,1.0101010101010113,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.32,0.21979797979797946,1.0101010101010086,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.33,0.22333333333333294,1.0101010101010084,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.3,0.21212121212121193,1.0101010101010093,0.1-0.3
abstract_algebra,codellama_codellama_34b_instruct,0.35,0.2297979797979795,1.0101010101010088,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.31,0.21606060606060593,1.0101010101010095,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.3,0.21212121212121193,1.0101010101010093,0.1-0.3
abstract_algebra,codellama_codellama_34b_instruct,0.31,0.21606060606060593,1.0101010101010095,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.3,0.21212121212121193,1.0101010101010093,0.1-0.3
abstract_algebra,codellama_codellama_34b_instruct,0.29,0.20797979797979768,1.0101010101010088,0.1-0.3
abstract_algebra,codellama_codellama_34b_instruct,0.35,0.2297979797979795,1.0101010101010088,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.31,0.21606060606060595,1.0101010101010097,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.33,0.22333333333333294,1.0101010101010084,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.32,0.21979797979797946,1.0101010101010086,0.3-0.5
abstract_algebra,codellama_codellama_34b_instruct,0.24,0.18424242424242462,1.0101010101010122,0.1-0.3
abstract_algebra,codellama_codellama_34b_instruct,0.28,0.20363636363636345,1.010101010101009,0.1-0.3
abstract_algebra,codellama_codellama_34b_instruct,0.25,0.1893939393939394,1.0101010101010102,0.1-0.3
abstract_algebra,codellama_codellama_34b_instruct,0.28,0.20363636363636345,1.010101010101009,0.1-0.3
abstract_algebra,codellama_codellama_34b_instruct,0.28,0.20363636363636345,1.010101010101009,0.1-0.3
