ambiguity,model,n_items,K,phi_strict,phi_broad,ci_items_w,ci_probes_w,ci_both_w,ci_both_lo,ci_both_hi,ci_items_lo,ci_items_hi,ci_both_broad_w,ci_items_broad_w,jack_range,jack_min,jack_max
high,openai_gpt-4,680,6,0.020131470930312076,0.21069701492080825,0.012553639612158144,0.03194885696774154,0.03359754369074887,0.003391191134132744,0.03698873482488161,0.014733488167935344,0.027287127780093488,0.18052229191518904,0.05848269545779222,0.012274637810896945,0.012564907129476863,0.024839544940373808
high,openai_gpt-3.5-turbo,659,6,0.028771384213800995,0.4414344909639238,0.017864410467120524,0.035289713202443784,0.042740247056505164,0.005274588504158074,0.04801483556066324,0.021035137906450983,0.038899548373571506,0.2722535886121088,0.0662799663189581,0.014624404535057561,0.021112457174562213,0.035736861709619774
high,openai_text-davinci-003,679,6,0.4256190560979627,0.731667329153842,0.053108732642792866,0.7116806501738415,0.7164178739257143,0.004375917623357821,0.7207937915490722,0.4010779594177096,0.45418669206050244,0.7492592777463474,0.043045538384893,0.422630231767601,0.08660933342783599,0.509239565195437
high,openai_text-davinci-002,680,6,0.4159652097880892,0.6334392166351884,0.031089057319532876,0.62711354587318,0.6415276749939819,0.05682015006498299,0.6983478250589649,0.400837774229619,0.4319268315491519,0.6935847106562778,0.03458890707001239,0.22848093399580977,0.26370823879895816,0.4921891727947679
high,anthropic_claude-v1.3,680,6,0.15963618228029414,0.25435377838032014,0.043223365006440334,0.21127429749943086,0.21968708267283743,0.01003961199816328,0.2297266946710007,0.1400828890634441,0.18330625406988443,0.27203356151153985,0.05480603433841613,0.07806052241640443,0.117543134695936,0.19560365711234043
high,anthropic_claude-instant-v1.1,680,6,0.13134720199686326,0.47267614095594096,0.04001928329461331,0.16127927393442654,0.1672405564933639,0.023985191083997444,0.19122574757736133,0.11328525201476895,0.15330453530938226,0.3000975718485168,0.07139403767223734,0.058427343067809986,0.1048976242860603,0.16332496735387028
high,google_text-bison-001,656,6,0.05851132615906665,0.0832143658144101,0.022445866018010983,0.09483098494281395,0.10219285108916239,0.010807813800887637,0.11300066489005002,0.04833425444959843,0.07078012046760941,0.11323355736842136,0.04236180147144025,0.04988684784433838,0.025360907577666396,0.07524775542200478
high,google_flan-t5-xl,680,6,0.019680515122268503,0.22847133329572833,0.01690560207034994,0.05328630736385433,0.05728895995349686,0.0,0.05728895995349686,0.013005905465083768,0.029911507535433708,0.28226008098985167,0.03233515899922407,0.025537653548667705,2.2540256521016666e-05,0.025560193805188723
high,cohere_command-xlarge,680,6,0.16645040461082117,0.3975954333071323,0.03664169494599967,0.22962509064515402,0.23686585270037852,0.03564612059214871,0.27251197329252724,0.1489700340684672,0.18561172901446688,0.36805199418929435,0.04559243289122167,0.10150398055130111,0.10870634632300263,0.21021032687430374
high,ai21_j2-jumbo-instruct,680,6,0.1605647660490764,0.3664335614556063,0.03629428208971622,0.17803140767385284,0.1768173445340941,0.03528692584516979,0.21210427037926388,0.1442327140737941,0.1805269961635103,0.30988630126656214,0.046196874060578264,0.06366949129796162,0.1239165598959463,0.18758605119390792
high,bigscience_bloomz-7b1,679,6,0.22877844361956945,0.4532648228916842,0.041071881673653554,0.2866617535996984,0.30874144486993177,0.026056586573254655,0.33479803144318643,0.20856583739921394,0.2496377190728675,0.3512909045735869,0.043687817466997736,0.10371026275073367,0.1853660230128973,0.289076285763631
high,meta_opt-iml-max-small,680,6,0.018309631570309813,0.34966607386296356,0.012780169669976896,0.0342192443765423,0.04073649943303501,0.001805176645928602,0.042541676078963614,0.013136372947323673,0.02591654261730057,0.3056245221010624,0.04821225253393674,0.011878868317563173,0.012711086992436846,0.02458995531000002
low,openai_gpt-4,687,6,0.007375661659993804,0.6416792057393127,0.018671277792453946,0.017255447887929466,0.02139941690962254,0.0,0.02139941690962254,0.002881707770455356,0.021552985562909303,0.8232765496256083,0.43532514756358237,0.011147595713503846,0.0009666095745222479,0.012114205288026094
low,openai_gpt-3.5-turbo,687,6,0.10940293215021209,0.9190850302343052,0.06000290969555484,0.12991048994376891,0.14298486550919504,0.00024282883555055518,0.14322769434474558,0.08094083870686401,0.14094374840241886,0.5962562725699192,0.0661796811537696,0.1163233453545891,0.012299418784167184,0.12862276413875628
low,openai_text-davinci-003,686,6,0.5470285990456483,0.9776233887770068,0.08364395382923917,0.575616443933207,0.5874220305956231,0.0030368770691964874,0.5904589076648197,0.5038716273329295,0.5875155811621686,0.510341165543925,0.01386714301101466,0.5590534424588026,0.010739450537288663,0.5697928929960913
low,openai_text-davinci-002,687,6,0.7295869184113557,0.8651506137801472,0.07686927447099179,0.790513473740585,0.8013961187962428,0.006527978272124589,0.8079240970683674,0.6909457771411974,0.7678150516121892,0.7543646951069272,0.04850285257990339,0.7640359038036554,0.024134257701868597,0.788170161505524
low,anthropic_claude-v1.3,687,6,0.05921113994290706,0.23935221681494287,0.033788975871296194,0.07928653718498554,0.08931195536682021,0.0016629457422487049,0.09097490110906892,0.044773789292874254,0.07856276516417045,0.2540678731994983,0.11932444293492439,0.0365061607107146,0.032435144005545,0.0689413047162596
low,anthropic_claude-instant-v1.1,687,6,0.00337202962304189,0.761992232509471,0.008818654065381544,0.006458288136441582,0.010509168796564163,0.0,0.010509168796564163,0.001012499519851978,0.009831153585233522,0.5899411353631709,0.1765414872179223,0.002519090882991022,0.0023873113736119257,0.004906402256602948
low,google_text-bison-001,665,6,0.057638934269107066,0.3250563739659399,0.044099008929485595,0.08276288109230198,0.09441131783839739,0.002351318358965161,0.09676263619736254,0.03861472549537828,0.08271373442486388,0.38445607581446906,0.19034905922878773,0.06555322208476452,0.009210132994423578,0.0747633550791881
low,google_flan-t5-xl,687,6,0.5418914542105316,0.6272267474332894,0.12115953116036743,0.6295948122373399,0.6508603395452568,8.299927013812809e-07,0.6508611695379581,0.4837072912874361,0.6048668224478035,0.6529143292092073,0.09407355569686526,0.277939802867822,0.309752372933682,0.587692175801504
low,cohere_command-xlarge,687,6,0.26411955134828763,0.5580706303557996,0.0623380000802006,0.29879392251409936,0.3159431970341469,0.020175364295433745,0.3361185613295807,0.23489351728241367,0.2972315173626143,0.4428100956762778,0.07091991285487154,0.10672703738470157,0.22065974442903807,0.32738678181373965
low,ai21_j2-jumbo-instruct,685,6,0.37588028609521246,0.6449278025332493,0.06141676533309326,0.458448836385738,0.4470965261209958,0.10339345684449099,0.5504899829654868,0.3465281524627857,0.40794491779587894,0.40239777410531086,0.056592133298765224,0.2363261554071449,0.2706823481719292,0.5070085035790741
low,bigscience_bloomz-7b1,687,6,0.4920522404973736,0.7160357055543934,0.06577415544074444,0.6480600469727198,0.6596279917194439,0.05423923921079227,0.7138672309302362,0.45805095832073855,0.523825113761483,0.5793837670290876,0.04426316236160677,0.42679314212645514,0.16109688414515488,0.58789002627161
low,meta_opt-iml-max-small,687,6,0.4736386874403173,0.6859486334306357,0.08673430115301484,0.6168018567754328,0.6259223058079215,0.0008786595225591417,0.6268009653304807,0.43174300179887404,0.5184773029518889,0.6519506625025794,0.05879231096666415,0.4659820449963127,0.06281500352452439,0.5287970485208371
