m1,m2,flipped,gap_mean,gap_min,gap_max
ai21_j2-jumbo-instruct,anthropic_claude-instant-v1.1,True,0.19623469267853735,0.004180438933735098,0.44228794323374204
ai21_j2-jumbo-instruct,anthropic_claude-v1.3,False,0.16475441903928786,0.03436027161640143,0.42908053384224626
ai21_j2-jumbo-instruct,bigscience_bloomz-7b1,True,0.040140115038912606,0.07121707950254363,0.3393599984663211
ai21_j2-jumbo-instruct,cohere_command-xlarge,True,0.028837679406955457,0.04495034010270671,0.2447939107801536
ai21_j2-jumbo-instruct,google_flan-t5-xl,True,0.06442178865774036,0.0036181640701052342,0.2691463429554828
ai21_j2-jumbo-instruct,google_text-bison-001,True,0.12475623201379371,0.05792367504164553,0.3700325294244728
ai21_j2-jumbo-instruct,meta_opt-iml-max-small,True,0.000731310415915685,0.014632190565959324,0.22751383990880863
ai21_j2-jumbo-instruct,openai_gpt-3.5-turbo,True,0.07706681064505881,0.018219687228738568,0.34989116100459855
ai21_j2-jumbo-instruct,openai_gpt-4,False,0.1740005459082953,0.07999301383261137,0.3905645007722743
ai21_j2-jumbo-instruct,openai_text-davinci-002,True,0.009140185726547992,0.036264368201585295,0.353191990167722
ai21_j2-jumbo-instruct,openai_text-davinci-003,True,0.15498762309215194,0.1083221236012154,0.4160224255973173
anthropic_claude-instant-v1.1,anthropic_claude-v1.3,True,0.03148027363924951,0.011721109973283128,0.12193700129690288
anthropic_claude-instant-v1.1,bigscience_bloomz-7b1,False,0.23637480771744998,0.18360011070511428,0.335179559532586
anthropic_claude-instant-v1.1,cohere_command-xlarge,False,0.16739701327158193,0.11077844442475976,0.22538617195393662
anthropic_claude-instant-v1.1,google_flan-t5-xl,False,0.2606564813362777,0.06491308670787732,0.4625872100568422
anthropic_claude-instant-v1.1,google_text-bison-001,True,0.07147846066474366,0.046440868822677894,0.17580302380641677
anthropic_claude-instant-v1.1,meta_opt-iml-max-small,True,0.19696600309445303,0.04965007804984034,0.37118028579356266
