m1,m2,flipped,gap_mean,gap_min,gap_max
ai21_j2-jumbo-instruct,anthropic_claude-instant-v1.1,False,0.19576098465425848,0.034069016649931116,0.44543469184846396
ai21_j2-jumbo-instruct,anthropic_claude-v1.3,False,0.16853571830596203,0.0008361471229868522,0.4343410936683728
ai21_j2-jumbo-instruct,bigscience_bloomz-7b1,True,0.07088963055354702,0.01445026015066675,0.2583173511535067
ai21_j2-jumbo-instruct,cohere_command-xlarge,True,0.014460716459260892,0.04021799810193716,0.060633571340375614
ai21_j2-jumbo-instruct,google_flan-t5-xl,True,0.04538119185991587,0.007176699458366742,0.2097008355000356
ai21_j2-jumbo-instruct,google_text-bison-001,False,0.1658356814563865,0.017811197174000037,0.36490612844181336
ai21_j2-jumbo-instruct,meta_opt-iml-max-small,True,0.030366609270349232,0.04231677501805864,0.2145275406144972
ai21_j2-jumbo-instruct,openai_gpt-3.5-turbo,False,0.16765951769184592,0.03639620183737835,0.3112391962876109
ai21_j2-jumbo-instruct,openai_gpt-4,False,0.19823754788732342,0.03843582887700536,0.4480659794026036
ai21_j2-jumbo-instruct,openai_text-davinci-002,True,0.04326517744723543,0.026489441930618418,0.2920033377492559
ai21_j2-jumbo-instruct,openai_text-davinci-003,True,0.09896421912550617,0.038144198664115336,0.32451665382310135
anthropic_claude-instant-v1.1,anthropic_claude-v1.3,False,0.027225266348296435,0.00938054118493703,0.06363151767218878
anthropic_claude-instant-v1.1,bigscience_bloomz-7b1,False,0.2666506152078054,0.040780743141739295,0.7037520430019706
anthropic_claude-instant-v1.1,cohere_command-xlarge,False,0.21022170111351937,0.09029110717311317,0.39709714134969487
anthropic_claude-instant-v1.1,google_flan-t5-xl,False,0.1503797927943426,0.026892317191564374,0.4896535868411783
anthropic_claude-instant-v1.1,google_text-bison-001,False,0.029925303197871973,0.011197241319498397,0.0805285634066506
anthropic_claude-instant-v1.1,meta_opt-iml-max-small,False,0.2261275939246077,0.09988351776354099,0.6599622324629612
anthropic_claude-instant-v1.1,openai_gpt-3.5-turbo,True,0.028101466962412558,0.0017429936598754026,0.13419549556085308
anthropic_claude-instant-v1.1,openai_gpt-4,True,0.0024765632330649434,0.0002912055911473699,0.008151382823871955
anthropic_claude-instant-v1.1,openai_text-davinci-002,False,0.15249580720702302,0.007579574719312698,0.7317409224314577
anthropic_claude-instant-v1.1,openai_text-davinci-003,True,0.09679676552875231,0.00407518201418422,0.5507893820237352
anthropic_claude-v1.3,bigscience_bloomz-7b1,False,0.23942534885950906,0.031400201956802265,0.6926584448218795
anthropic_claude-v1.3,cohere_command-xlarge,False,0.18299643476522295,0.04105414522492401,0.3860035431696037
anthropic_claude-v1.3,google_flan-t5-xl,True,0.12315452644604617,0.01070112648178101,0.4785599886610872
anthropic_claude-v1.3,google_text-bison-001,True,0.002700036849575538,6.662876614771385e-05,0.06943496522655945
anthropic_claude-v1.3,meta_opt-iml-max-small,False,0.19890232757631124,0.04315292214104549,0.64886863428287
anthropic_claude-v1.3,openai_gpt-3.5-turbo,True,0.0008762006141161219,0.0009381223219359081,0.12310189738076194
anthropic_claude-v1.3,openai_gpt-4,False,0.029701829581361378,0.007633901070116411,0.07178290049606073
anthropic_claude-v1.3,openai_text-davinci-002,True,0.1252705408587266,0.007341353552592134,0.7206473242513667
anthropic_claude-v1.3,openai_text-davinci-003,True,0.06957149918045587,0.0019798698857274033,0.539695783843644
bigscience_bloomz-7b1,cohere_command-xlarge,True,0.056428914094286124,0.061882131407505314,0.30665490165227577
bigscience_bloomz-7b1,google_flan-t5-xl,False,0.11627082241346287,0.0038724141185545458,0.24265262657780795
bigscience_bloomz-7b1,google_text-bison-001,False,0.23672531200993352,0.024919232139641423,0.62322347959532
bigscience_bloomz-7b1,meta_opt-iml-max-small,True,0.040523021283197784,0.0063473759195390445,0.14232497421615486
bigscience_bloomz-7b1,openai_gpt-3.5-turbo,False,0.2385491482453929,0.03233832427873817,0.5695565474411175
bigscience_bloomz-7b1,openai_gpt-4,False,0.2691271784408704,0.039034103026918676,0.7063833305561102
bigscience_bloomz-7b1,openai_text-davinci-002,True,0.11415480800078244,0.012200557656771194,0.2619653690500596
bigscience_bloomz-7b1,openai_text-davinci-003,False,0.16985384967905318,0.02942033207107486,0.28380844046782916
cohere_command-xlarge,google_flan-t5-xl,True,0.05984190831917676,0.0633987899815488,0.14906726415965998
cohere_command-xlarge,google_text-bison-001,False,0.18029639791564742,0.07403328769718209,0.349155395145909
cohere_command-xlarge,meta_opt-iml-max-small,True,0.01590589281108834,0.002098776916121481,0.2628650911132663
cohere_command-xlarge,openai_gpt-3.5-turbo,False,0.18212023415110679,0.0926182923605604,0.35828945968376924
cohere_command-xlarge,openai_gpt-4,False,0.21269826434658431,0.09465791940018742,0.39972842890383453
cohere_command-xlarge,openai_text-davinci-002,True,0.05772589390649632,0.072300446129267,0.3438667984620082
cohere_command-xlarge,openai_text-davinci-003,True,0.11342493558476706,0.09130246347858018,0.3763801145358536
google_flan-t5-xl,google_text-bison-001,False,0.12045448959647063,0.009967607308010273,0.4091250234345277
google_flan-t5-xl,meta_opt-iml-max-small,True,0.0757478011302651,0.041071948732886665,0.17030864562178283
google_flan-t5-xl,openai_gpt-3.5-turbo,False,0.12227832583193005,0.026491994177583633,0.35545809128032524
google_flan-t5-xl,openai_gpt-4,False,0.15285635602740755,0.03125912941863862,0.492284874395318
google_flan-t5-xl,openai_text-davinci-002,True,0.0021160144126804357,0.0026688454408293483,0.24742271027542917
