,order_first,order_second
alpaca-13b,0.096875,0.1125
baize-v2-13b,0.25625,0.225
chatglm-6b,0.115625,0.128125
claude-instant-v1,0.575,0.578125
claude-v1,0.61875,0.684375
dolly-v2-12b,0.075,0.078125
falcon-40b-instruct,0.153125,0.153125
fastchat-t5-3b,0.08860759493670886,0.08227848101265822
gpt-4,0.83125,0.8375
gpt4all-13b-snoozy,0.20625,0.175
guanaco-33b,0.453125,0.353125
guanaco-65b,0.421875,0.35625
h2ogpt-oasst-open-llama-13b,0.1949685534591195,0.1761006289308176
koala-13b,0.19375,0.171875
llama-13b,0.06875,0.059375
mpt-30b-chat,0.35625,0.309375
mpt-30b-instruct,0.14375,0.14375
mpt-7b-chat,0.225,0.159375
nous-hermes-13b,0.221875,0.1625
oasst-sft-4-pythia-12b,0.1125,0.128125
oasst-sft-7-llama-30b,0.296875,0.2625
palm-2-chat-bison-001,0.259375,0.20625
rwkv-4-raven-14b,0.134375,0.0875
stablelm-tuned-alpha-7b,0.059748427672955975,0.05660377358490566
tulu-30b,0.30625,0.275
vicuna-13b-v1.3,0.375,0.35625
vicuna-33b-v1.3,0.590625,0.578125
vicuna-7b-v1.3,0.3375,0.28125
wizardlm-13b,0.3375,0.3125
wizardlm-30b,0.421875,0.396875
gpt-3.5-turbo,0.7155963302752293,0.7369683069224353
