ambiguity,model,n_scen,K,phi_strict,phi_broad,ci_s_lo,ci_s_hi,ci_b_lo,ci_b_hi,d_strict,d_strict_lo,d_strict_hi,p_more_fragile_strict,d_broad,d_broad_lo,d_broad_hi,p_more_fragile_broad
high,openai_gpt-4,637,6,0.01750395301257467,0.19697908858820845,0.002743229765769227,0.03275523608762681,0.06275787243699059,0.23637283701981857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high,openai_gpt-3.5-turbo,637,6,0.027200857428948372,0.4414154248158279,0.004862303887487295,0.04460336308699666,0.20725681943313523,0.4788661964377372,0.008013170798452934,-0.018611177362067178,0.034457973039285536,0.724,0.2066989465202771,0.12107580872041207,0.2743126092372318,1.0
high,openai_text-davinci-003,637,6,0.4195143351012496,0.7269664969933072,0.005067352100525028,0.7121768999421126,0.18350087642575827,0.9229573893312413,0.33693310172940466,-0.003927661844462951,0.6938726177799808,0.944,0.474951473961669,0.11054616699667963,0.7373599399611858,0.9996666666666667
high,openai_text-davinci-002,637,6,0.41205299842884924,0.6270667646543084,0.06252978814068154,0.690081482425089,0.1510987823286557,0.8298338679578171,0.3509240214067089,0.05546824551862551,0.6755340370489948,0.9996666666666667,0.3835215569069672,0.07945131538477183,0.6423625197999188,0.9993333333333333
high,anthropic_claude-v1.3,637,6,0.14972001247602718,0.242703319579982,0.013986170140231877,0.21160460489032962,0.014268378221016977,0.2748272957166693,0.11083445574069696,0.00474599729375629,0.20069568441674476,0.987,0.014794392957713237,-0.109732843232457,0.13172946091453577,0.601
high,anthropic_claude-instant-v1.1,637,6,0.12211450702040247,0.4581629513513419,0.022102508571275083,0.17852940854203378,0.21391931314088383,0.5079599055852841,0.08884693750490462,0.006766188322418119,0.17110403088539844,0.9893333333333333,0.2274855571329631,0.06349547659965578,0.3707450140009686,0.9986666666666667
high,google_text-bison-001,637,6,0.056639356880780777,0.08197487247814005,0.010121723716320592,0.10876701625391831,0.010121723716320592,0.11960785431166898,0.03411229393147881,-0.003066678335318301,0.09282155160789526,0.9533333333333334,-0.10399713060465345,-0.16355071322576814,-0.03874409074088293,0.003
high,google_flan-t5-xl,637,6,0.020275470117238837,0.2255244019676111,0.0,0.06076782508929976,0.00043888336851002614,0.2805125537533494,0.005143010597890029,-0.02957440805459337,0.049659778421071894,0.5803333333333334,0.01445258312313302,-0.08944330224011322,0.09719001762038555,0.6466666666666666
high,cohere_command-xlarge,637,6,0.16271809067715393,0.3917493461255809,0.03170476656863789,0.26765791297728325,0.08216820736294936,0.4576767546924104,0.12600600725019273,0.012726057044738897,0.253612402381614,0.9936666666666667,0.14129642419425753,-0.013727088486800753,0.2791045339370452,0.9603333333333334
high,ai21_j2-jumbo-instruct,637,6,0.16002684825732566,0.3714207072386402,0.038376832753902815,0.22062299656074663,0.06206308692658944,0.38047354056688726,0.12070228869171992,0.028711415043240335,0.20223737628873523,0.996,0.09151463710029278,-0.08142712606958984,0.22818885404724484,0.8346666666666667
high,bigscience_bloomz-7b1,637,6,0.22834052192708446,0.4571382459040141,0.04693507834807987,0.33144439877915255,0.12255896224967394,0.48336028668205405,0.18541724085427957,0.023616774054705914,0.3238439094008811,0.985,0.19138274497673421,0.012423961795599289,0.3062288460610388,0.982
high,meta_opt-iml-max-small,637,6,0.0178035240948989,0.3488016006670648,0.000823716872292772,0.04182223131746741,0.05315825938185423,0.361434181639535,0.0019031270247656324,-0.019472135752788323,0.02783653743340524,0.553,0.08317532295879149,-0.04736713313450968,0.17018613018811293,0.921
