model,phi_strict,s_lo,s_hi,phi_broad,b_lo,b_hi
bigscience_bloomz-7b1,0.22877844361956945,0.20791577053426957,0.25512037891242806,0.7510121881196969,0.7307961070760997,0.7742254879207661
ai21_j2-jumbo-instruct,0.1605647660490764,0.14401803394365129,0.17852792569605666,0.7481500332645583,0.7232907442057949,0.7704285393152125
openai_text-davinci-003,0.4256190560979627,0.4029649496944904,0.45188294512816823,0.7406845176109957,0.721303380350244,0.7640216678997919
openai_text-davinci-002,0.4159652097880892,0.40135926061661054,0.43168448001576715,0.7238694266043237,0.7053038506145606,0.7426281122082429
meta_opt-iml-max-small,0.018309631570309813,0.012780017964365063,0.026086243419769353,0.6843802028408049,0.6595429844871314,0.7096160777175209
cohere_command-xlarge,0.16645040461082117,0.14928935580938604,0.18489469952515614,0.6392675646951395,0.6153606731404819,0.6631026578571092
anthropic_claude-instant-v1.1,0.13134720199686326,0.11221750888136081,0.1531083070714368,0.4964242222225096,0.4613102927170076,0.5366692174230996
openai_gpt-3.5-turbo,0.028771384213800995,0.021129046534867774,0.038819301020937995,0.47051071707826414,0.4368942468021288,0.507740653949279
anthropic_claude-v1.3,0.15963618228029414,0.14068244972424881,0.18109368015334124,0.4544414073908166,0.4248103650587524,0.48594551364471833
google_flan-t5-xl,0.019680515122268503,0.01334973776025809,0.029330021904732852,0.3996909333319558,0.38200880784425156,0.41748467234508296
google_text-bison-001,0.05851132615906665,0.0492192094000982,0.07091225231686242,0.3338799931033925,0.31031530100471755,0.3627199545040746
openai_gpt-4,0.020131470930312076,0.014646966666986677,0.02763411743702548,0.24856903874137054,0.2204007068800793,0.280836846967679
