ambiguity,model,n_rows,refusal_invalid_rate,n_scenarios,n_conditions,mean_y,sigma2_scenario,sigma2_condition,sigma2_resid,sigma2_format,sigma2_order,seed_var,sigma2_interaction,sigma2_run_mean,phi_strict,phi_broad,cond_spread
low,openai_gpt-4,20610,0.0001455604075691412,687,6,0.9982047549733141,6.408052927970936e-05,6.2128407195689334e-06,0.0007720501384167724,5.219269344667147e-06,5.697172672120561e-07,0.0011887433284813198,0.0005343014727205085,0.00023774866569626396,0.007375661659993804,0.6416792057393127,0.00698689956331866
low,openai_gpt-3.5-turbo,20610,0.0010189228529839884,687,6,0.9676370693837943,0.001220291318856508,0.003034140917752,0.0234792021196085,0.002163962746140803,0.000676320313881251,0.0051188743328481326,0.022455427253038875,0.0010237748665696265,0.10940293215021209,0.9190850302343052,0.14177583697234342
low,openai_text-davinci-003,20610,0.0004366812227074236,686,6,0.8988338192419826,0.0004189908705922359,0.05074933781646128,0.04160440368013734,0.02551298778570152,0.01476059200578748,0.008323222518806116,0.03993975917637612,0.0016646445037612231,0.5470285990456483,0.9775404332589179,0.560932944606414
low,openai_text-davinci-002,20610,0.0033478893740902477,687,6,0.8432354843926896,0.006980330130249923,0.0824348610103222,0.02357321220117168,0.041520052213488916,0.02325895073434017,0.04128043355172692,0.015317125490826295,0.008256086710345384,0.7295869184113557,0.8651506137801472,0.729475982532751
low,anthropic_claude-v1.3,20610,0.006259097525473071,687,6,0.9684497816593887,0.0020869111628847837,0.0005718105083580526,0.0069984223882940556,0.00013616492820502993,7.684149924159378e-05,0.026293870289503477,0.0017396483303933601,0.0052587740579006954,0.05921113994290706,0.23935221681494295,0.06200873362445414
low,anthropic_claude-instant-v1.1,20610,0.00038816108685104316,687,6,0.9957302280446384,0.0005012087596527485,1.0813058847992908e-05,0.0026946697165037775,1.5325865328724846e-06,1.928563575620854e-05,0.001310043668122271,0.002432660982879323,0.0002620087336244542,0.00337202962304189,0.761992232509471,0.009315866084424806
low,google_text-bison-001,20610,0.01586608442503639,665,6,0.9647869674185464,0.005418587130476796,0.000869599072983664,0.008798821979647915,0.0007117662577496375,0.0003028636754794268,0.02350479940930347,0.004097862097787221,0.004700959881860694,0.057638934269107066,0.329254223931059,0.07954887218045115
low,google_flan-t5-xl,20610,0.0013585638039786511,687,6,0.8452328966521107,0.010375945117077815,0.038903276948125884,0.022512419315823644,0.043187591504950516,0.002432370499380721,0.08193029273815301,0.006126360768193041,0.016386058547630603,0.5418914542105316,0.6272267474332894,0.4679039301310043
low,cohere_command-xlarge,20610,0.027559437166424065,687,6,0.7847202005498949,0.010983659347151902,0.02072669453863197,0.04676431575841908,0.024888935198035218,0.00021445228446553016,0.11848300970873786,0.023067713816671505,0.023696601941747573,0.26411955134828763,0.5580706303557996,0.3107714701601164
low,ai21_j2-jumbo-instruct,20610,0.05574963609898108,685,6,0.7988767234387673,0.0057840363050547855,0.029551222394546342,0.04328344913830038,0.029997977210254108,0.00023851547304492866,0.11066292956373386,0.02115086322555361,0.02213258591274677,0.37588028609521246,0.6449112051630139,0.4138199513381996
low,bigscience_bloomz-7b1,20610,0.005579815623483746,687,6,0.7290109978974608,0.009112476771397544,0.05611407843098421,0.04881434089081209,0.04200739678014008,0.03002101993175998,0.11635532912825489,0.02554327506516111,0.02327106582565098,0.4920522404973736,0.7160357055543934,0.672197962154294
low,meta_opt-iml-max-small,20610,0.008927704997573994,687,6,0.7691492802846515,0.011948384760433597,0.04907347967490407,0.04258766108740116,0.039250812572985225,0.01136796897808389,0.10295164159792981,0.021997332767815198,0.020590328319585963,0.4736386874403173,0.6859486334306357,0.569505094614265
high,openai_gpt-4,40800,0.00014705882352941175,680,6,0.6686676198257081,0.14279166293665232,0.0038255094076576745,0.043409151161817025,0.003933417370244434,0.00030717835202420733,0.035983407251789605,0.036212469711459104,0.007196681450357921,0.020131470930312076,0.21069701492080825,0.17455882352941166
high,openai_gpt-3.5-turbo,40800,0.028799019607843136,659,6,0.5728809885107305,0.11530349872735048,0.006265360546627849,0.09619475265618714,0.00605200153864162,0.0011073520045110305,0.031772473666206634,0.08984025792294581,0.006354494733241327,0.028771384213800995,0.44133001660715354,0.1994092781270323
high,openai_text-davinci-003,40800,0.000980392156862745,679,6,0.6495990836197022,0.06090251488080154,0.0999603674210006,0.07399588632906762,0.014396042105036531,0.038757726509473886,0.010578442591684377,0.07188019781073074,0.0021156885183368753,0.4256190560979627,0.7316761738703278,0.9357879234167896
high,openai_text-davinci-002,40800,0.005931372549019607,680,6,0.4855481637099284,0.051598855504878555,0.07772891096762621,0.057536204692835505,0.00034742818579751214,0.047696439442470914,0.08449074074074074,0.040638056544687357,0.016898148148148148,0.4159652097880892,0.6334392166351884,0.8216666666666669
high,anthropic_claude-v1.3,40800,0.012941176470588235,680,6,0.6591926353874883,0.06549622451930372,0.019164884171340678,0.035392402346661585,0.00385426844323309,0.019969471664864968,0.12010611188920012,0.01137117996882156,0.024021222377840025,0.15963618228029414,0.25435377838032014,0.34207924836601317
high,anthropic_claude-instant-v1.1,40800,0.000588235294117647,680,6,0.6907849945533769,0.09922804356469583,0.025881558361221548,0.07193729338472374,0.000517034340146508,0.035509455765803825,0.02339742841581077,0.06725780770156159,0.004679485683162154,0.13134720199686326,0.47267614095594096,0.39073529411764707
high,google_text-bison-001,40800,0.01656862745098039,656,6,0.6169609586720868,0.07436265255036191,0.006531942251214996,0.030740923994519224,0.0015727791978209012,0.00838564411937131,0.1392407124501131,0.0028927815044966047,0.02784814249002262,0.05851132615906665,0.08442406016785745,0.2101117886178862
high,google_flan-t5-xl,40800,0.003161764705882353,680,6,0.4304742452536571,0.08333984372926974,0.0027322110324020147,0.05275617282422705,0.0017845918355541193,0.0007317723412894599,0.11885056800497977,0.0289860592232311,0.023770113600995953,0.019680515122268503,0.22847133329572833,0.138265639589169
high,cohere_command-xlarge,40800,0.03791666666666667,680,6,0.5235297035480859,0.04383582776839714,0.02022687885643994,0.05745624614510388,0.0009498003389298243,0.025893748953394746,0.146838721599751,0.028088501825153683,0.0293677443199502,0.16645040461082117,0.3975954333071323,0.36456524276377217
high,ai21_j2-jumbo-instruct,40800,0.03698529411764706,680,6,0.49567596483037657,0.023481697821267456,0.014970553166947613,0.054784600005432456,1.4264685171227146e-05,0.00010034722222222214,0.17795020901936057,0.019194558201560345,0.03559004180387211,0.1605647660490764,0.36643356145560635,0.3301021241830066
high,bigscience_bloomz-7b1,40800,0.008014705882352941,679,6,0.45446131488104974,0.026842571185181185,0.02466386451657097,0.0563003319567601,0.001628788082095308,0.03586208909011943,0.16057701662016446,0.024184928632727205,0.03211540332403289,0.22877844361956945,0.45311434718116367,0.35445917198494525
high,meta_opt-iml-max-small,40800,0.009852941176470589,680,6,0.4939059095860567,0.031547133369247984,0.0018301018956647193,0.06657572602964121,0.000431746588573928,0.0010581449629484194,0.1672783418923125,0.03312005765117871,0.0334556683784625,0.018309631570309813,0.34966607386296356,0.10850023342670401
