subject,model,K,n,acc,sigma2_item,sigma2_template,sigma2_resid,phi,phi_excl_resid,acc_spread
abstract_algebra,codellama_codellama_34b_instruct,100,100,0.284,0.15594631160085703,0.00016045301499846947,0.04880318334863789,0.0007830416072638533,0.0010278415249544703,0.10999999999999999
abstract_algebra,google_flan_t5_xl,100,100,0.217,0.12740861136618709,0.000913661871237629,0.04287623711866136,0.005336856432554517,0.00712005677726073,0.15
abstract_algebra,google_flan_t5_xxl,100,100,0.2387,0.16168809305172943,0.00023152739516375917,0.0214240281603918,0.0012628056489684127,0.0014298909207219647,0.09000000000000002
abstract_algebra,google_flan_ul2,100,100,0.2183,0.14404746454443426,4.9484746454443344e-05,0.0279919293949597,0.0002875534249065491,0.0003434128668091954,0.07999999999999999
abstract_algebra,google_gemma_7b,100,100,0.2855,0.12361193755739208,0.00011496786042240594,0.08150826446280991,0.000560176213897829,0.0009292066267572922,0.13999999999999999
abstract_algebra,google_gemma_7b_it,100,100,0.2653,0.13673033363942452,0.0,0.05978582797673707,0.0,0.0,0.1
abstract_algebra,ibm_mistralai_merlinite_7b,100,100,0.3121,0.14117261503928172,0.0,0.07512132435465768,0.0,0.0,0.10999999999999999
abstract_algebra,meta_llama_llama_3_70b_instruct,100,100,0.527,0.21105393327211508,0.0,0.040364248546066725,0.0,0.0,0.09999999999999998
abstract_algebra,meta_llama_llama_3_8b,100,100,0.2948,0.12940881542699725,0.00016841138659320464,0.07961946740128557,0.0008050384697772575,0.001299698957406157,0.15
abstract_algebra,meta_llama_llama_3_8b_instruct,100,100,0.3178,0.16336604428119578,4.887256402407933e-05,0.055027895112743586,0.000223731619209719,0.0002990703968008593,0.12
abstract_algebra,mistralai_mistral_7b_instruct_v0_2,100,100,0.2718,0.15280242832364047,0.0,0.04670262218141006,0.0,0.0,0.11000000000000001
abstract_algebra,mistralai_mistral_7b_v0_1,100,100,0.2705,0.1320553004795429,0.0,0.06666692174267931,0.0,0.0,0.12000000000000002
abstract_algebra,mistralai_mixtral_8x7b_instruct_v01,100,100,0.3943,0.17941840628507297,0.0003759820426487093,0.0608371492704826,0.0015624803232421978,0.0020911778512429707,0.15999999999999998
