phi,gap,delta,K,p_inv
0.01,median_gap,0.09642614393503729,1,0.0012773048721125835
0.01,median_gap,0.09642614393503729,5,7.611244967620223e-12
0.01,median_gap,0.09642614393503729,20,0.0
0.01,small_gap,0.04041685367578075,1,0.10302795749246063
0.01,small_gap,0.04041685367578075,5,0.002345834264444846
0.01,small_gap,0.04041685367578075,20,7.794586531773007e-09
0.05,median_gap,0.09642614393503729,1,0.08864398532187251
0.05,median_gap,0.09642614393503729,5,0.0012773048721125835
0.05,median_gap,0.09642614393503729,20,8.017649322233922e-10
0.05,small_gap,0.04041685367578075,1,0.28586856521125
0.05,small_gap,0.04041685367578075,5,0.10302795749246063
0.05,small_gap,0.04041685367578075,20,0.00571988240851129
0.1,median_gap,0.09642614393503729,1,0.17004310686599922
0.1,median_gap,0.09642614393503729,5,0.016454264406152108
0.1,median_gap,0.09642614393503729,20,9.932847027160907e-06
0.1,small_gap,0.04041685367578075,1,0.34462784996505225
0.1,small_gap,0.04041685367578075,5,0.1856272161992275
0.1,small_gap,0.04041685367578075,20,0.03686766586719653
0.2,median_gap,0.09642614393503729,1,0.2499725045263445
0.2,median_gap,0.09642614393503729,5,0.0657262946082468
0.2,median_gap,0.09642614393503729,20,0.0012773048721125835
0.2,small_gap,0.04041685367578075,1,0.38868520253520183
0.2,small_gap,0.04041685367578075,5,0.26361417570707885
0.2,small_gap,0.04041685367578075,20,0.10302795749246063
0.3,median_gap,0.09642614393503729,1,0.29088908604245334
0.3,median_gap,0.09642614393503729,5,0.10904886944764103
0.3,median_gap,0.09642614393503729,20,0.006885071538842713
0.3,small_gap,0.04041685367578075,1,0.408710865338654
0.3,small_gap,0.04041685367578075,5,0.30284900663204356
0.3,small_gap,0.04041685367578075,20,0.15093117699165898
0.5,median_gap,0.09642614393503729,1,0.3348209619697651
0.5,median_gap,0.09642614393503729,5,0.17004310686599922
0.5,median_gap,0.09642614393503729,20,0.02819626470246861
0.5,small_gap,0.04041685367578075,1,0.4290374718101275
0.5,small_gap,0.04041685367578075,5,0.34462784996505225
0.5,small_gap,0.04041685367578075,20,0.21193342511640906
0.7,median_gap,0.09642614393503729,1,0.35920814661174727
0.7,median_gap,0.09642614393503729,5,0.2100427662250548
0.7,median_gap,0.09642614393503729,20,0.05342161840107207
0.7,small_gap,0.04041685367578075,1,0.4399346537809879
0.7,small_gap,0.04041685367578075,5,0.3677012265528564
0.7,small_gap,0.04041685367578075,20,0.2495534049582297
0.9,median_gap,0.09642614393503729,1,0.3752431106684735
0.9,median_gap,0.09642614393503729,5,0.23852172143440614
0.9,median_gap,0.09642614393503729,20,0.07749401651362575
0.9,small_gap,0.04041685367578075,1,0.4469826317849577
0.9,small_gap,0.04041685367578075,5,0.38283554281470206
0.9,small_gap,0.04041685367578075,20,0.2755595365073983
