model,phi_broad,posix_spread
ai21_j2-jumbo-instruct,0.5101380500750807,0.6622309757236228
anthropic_claude-instant-v1.1,0.33777612147527913,0.5061764705882353
anthropic_claude-v1.3,0.30988309008677734,0.5256535947712418
bigscience_bloomz-7b1,0.527281456763326,0.697354886971971
cohere_command-xlarge,0.4349339414109204,0.6814495798319327
google_flan-t5-xl,0.29479400298307706,0.5459459617180206
google_text-bison-001,0.21200775946433562,0.45379827235772363
meta_opt-iml-max-small,0.43407842003749336,0.6399591503267974
openai_gpt-3.5-turbo,0.28231553109618546,0.5704819712406966
openai_gpt-4,0.14643458500526665,0.3388235294117647
openai_text-davinci-002,0.5838739801477818,0.8793586601307191
openai_text-davinci-003,0.6120959035942627,0.9452135493372607
