model,sigma2_subject,sigma2_template,sigma2_resid,phi_subject,ratio_tmpl_over_subj,mean_acc,tmpl_spread
google_gemma_7b_it,0.01778,0.00044,0.0005,0.02366,0.0249,0.47981,0.13323
mistralai_mistral_7b_v0_1,0.02553,0.0002,0.00043,0.0078,0.00799,0.59419,0.06462
codellama_codellama_34b_instruct,0.0201,0.00011,0.00032,0.00538,0.0055,0.52107,0.04908
meta_llama_llama_3_8b,0.02533,0.00011,0.00034,0.0044,0.00448,0.63357,0.05829
mistralai_mistral_7b_instruct_v0_2,0.0247,9e-05,0.00032,0.00351,0.00356,0.58593,0.04743
google_gemma_7b,0.02912,6e-05,0.00059,0.00208,0.00213,0.61928,0.03694
ibm_mistralai_merlinite_7b,0.02767,5e-05,0.00036,0.00172,0.00174,0.62694,0.03566
tiiuae_falcon_40b,0.02266,3e-05,0.00041,0.00133,0.00135,0.54448,0.03073
tiiuae_falcon_180b,0.02654,4e-05,0.00027,0.00132,0.00134,0.68636,0.03298
meta_llama_llama_3_8b_instruct,0.02315,3e-05,0.00024,0.00128,0.0013,0.65284,0.03075
mistralai_mixtral_8x7b_instruct_v01,0.02376,3e-05,0.00027,0.00105,0.00106,0.70395,0.02918
meta_llama_llama_3_70b_instruct,0.0159,1e-05,0.00013,0.00088,0.00089,0.79688,0.01729
google_flan_t5_xl,0.02136,1e-05,0.00019,0.00059,0.00059,0.4947,0.01943
google_flan_ul2,0.0284,0.0,0.00012,0.00017,0.00017,0.55614,0.01219
google_flan_t5_xxl,0.02797,0.0,0.00014,8e-05,8e-05,0.55064,0.01
