subject,sigma2_model,sigma2_template,sigma2_resid,phi_model,ratio_tmpl_over_model
management,0.00575,0.00013,0.00062,0.02012,0.02274
public_relations,0.00313,5e-05,0.00042,0.01312,0.01509
security_studies,0.00402,3e-05,0.00024,0.0081,0.00866
jurisprudence,0.00743,6e-05,0.00049,0.00803,0.00863
high_school_geography,0.00724,6e-05,0.0003,0.00769,0.00806
logical_fallacies,0.0059,4e-05,0.0003,0.00706,0.00747
high_school_government_and_politics,0.01031,7e-05,0.00031,0.00677,0.00702
sociology,0.00554,4e-05,0.00029,0.0067,0.00709
business_ethics,0.00929,6e-05,0.00064,0.00646,0.00695
college_chemistry,0.00411,3e-05,0.00073,0.00596,0.00705
high_school_mathematics,0.00667,4e-05,0.00026,0.00595,0.00622
high_school_computer_science,0.01448,9e-05,0.00045,0.00594,0.00617
college_computer_science,0.00658,4e-05,0.00061,0.00554,0.00608
moral_disputes,0.00649,3e-05,0.00016,0.00511,0.00527
marketing,0.00266,1e-05,0.00016,0.00469,0.005
philosophy,0.00802,4e-05,0.00022,0.00457,0.00472
high_school_psychology,0.0066,3e-05,0.00015,0.00428,0.00439
high_school_biology,0.01101,5e-05,0.00038,0.00428,0.00444
miscellaneous,0.00635,3e-05,0.0001,0.00425,0.00434
high_school_microeconomics,0.01475,6e-05,0.00041,0.00408,0.00421
high_school_us_history,0.00708,3e-05,0.0003,0.00396,0.00414
college_biology,0.02021,7e-05,0.00035,0.00363,0.0037
conceptual_physics,0.01235,5e-05,0.0003,0.0036,0.0037
professional_accounting,0.00609,2e-05,0.00024,0.00347,0.00362
high_school_chemistry,0.00946,3e-05,0.0003,0.0033,0.00342
professional_psychology,0.01352,4e-05,0.00017,0.00323,0.00328
human_aging,0.00643,2e-05,0.00025,0.00312,0.00325
college_mathematics,0.00442,2e-05,0.00058,0.00312,0.00354
formal_logic,0.00818,3e-05,0.00074,0.00305,0.00334
us_foreign_policy,0.005,2e-05,0.00024,0.00292,0.00306
high_school_statistics,0.0133,4e-05,0.00043,0.00285,0.00296
abstract_algebra,0.00591,2e-05,0.00063,0.00285,0.00316
high_school_world_history,0.00619,2e-05,0.0003,0.00272,0.00286
clinical_knowledge,0.01103,3e-05,0.00022,0.0027,0.00276
world_religions,0.00901,2e-05,0.00022,0.00268,0.00275
electrical_engineering,0.00566,1e-05,0.00035,0.00247,0.00263
astronomy,0.01367,3e-05,0.00033,0.0024,0.00246
elementary_mathematics,0.00935,2e-05,0.00014,0.00233,0.00237
prehistory,0.01204,3e-05,0.00012,0.00228,0.00231
global_facts,0.00596,1e-05,0.00054,0.00222,0.00242
human_sexuality,0.00913,2e-05,0.00034,0.00212,0.00221
professional_law,0.00508,1e-05,0.00013,0.00207,0.00213
high_school_physics,0.00747,2e-05,0.00034,0.00207,0.00217
high_school_macroeconomics,0.01088,2e-05,0.00027,0.00207,0.00212
college_medicine,0.01235,2e-05,0.00035,0.00193,0.00199
nutrition,0.01153,2e-05,0.00019,0.0018,0.00183
computer_security,0.00459,1e-05,0.0004,0.00177,0.00193
international_law,0.00591,1e-05,0.0002,0.00133,0.00138
anatomy,0.00781,1e-05,0.0003,0.00122,0.00127
econometrics,0.01479,2e-05,0.00052,0.00118,0.00123
medical_genetics,0.01665,2e-05,0.0004,0.00106,0.00109
professional_medicine,0.02238,2e-05,0.00034,0.00093,0.00095
moral_scenarios,0.01627,1e-05,0.00039,0.00074,0.00076
virology,0.00177,0.0,0.00017,0.00071,0.00078
high_school_european_history,0.03264,2e-05,0.00088,0.00059,0.00061
college_physics,0.00571,0.0,0.00062,0.00037,0.00041
machine_learning,0.01147,0.0,0.00062,0.0,0.0
