ambiguity,model_a,model_b,rho
high,openai_gpt-4,openai_gpt-3.5-turbo,0.5507887538917268
high,openai_gpt-4,openai_text-davinci-003,0.5543492118837077
high,openai_gpt-4,openai_text-davinci-002,0.4245372232758004
high,openai_gpt-4,anthropic_claude-v1.3,0.6423105268184468
high,openai_gpt-4,anthropic_claude-instant-v1.1,0.3973005849160879
high,openai_gpt-4,google_text-bison-001,0.5538791556772505
high,openai_gpt-4,google_flan-t5-xl,-0.38063476970627597
high,openai_gpt-4,cohere_command-xlarge,0.40802174805109426
high,openai_gpt-4,ai21_j2-jumbo-instruct,0.3697629108908234
high,openai_gpt-4,bigscience_bloomz-7b1,0.0654941446115354
high,openai_gpt-4,meta_opt-iml-max-small,-0.14060009673191814
high,openai_gpt-3.5-turbo,openai_text-davinci-003,-0.12625508145345743
high,openai_gpt-3.5-turbo,openai_text-davinci-002,-0.38128669758503597
high,openai_gpt-3.5-turbo,anthropic_claude-v1.3,-0.06877452776234483
high,openai_gpt-3.5-turbo,anthropic_claude-instant-v1.1,-0.3435374846883169
high,openai_gpt-3.5-turbo,google_text-bison-001,-0.08258239188401971
high,openai_gpt-3.5-turbo,google_flan-t5-xl,-0.6287614649941118
high,openai_gpt-3.5-turbo,cohere_command-xlarge,-0.3845437611841014
high,openai_gpt-3.5-turbo,ai21_j2-jumbo-instruct,-0.33206901996299965
high,openai_gpt-3.5-turbo,bigscience_bloomz-7b1,-0.5918531617271026
high,openai_gpt-3.5-turbo,meta_opt-iml-max-small,-0.43565514969424757
high,openai_text-davinci-003,openai_text-davinci-002,0.8978328541711578
high,openai_text-davinci-003,anthropic_claude-v1.3,0.5061407722892403
high,openai_text-davinci-003,anthropic_claude-instant-v1.1,0.5452909811025963
high,openai_text-davinci-003,google_text-bison-001,0.7368629381285863
high,openai_text-davinci-003,google_flan-t5-xl,0.4135226710543899
high,openai_text-davinci-003,cohere_command-xlarge,0.5400006080686569
high,openai_text-davinci-003,ai21_j2-jumbo-instruct,0.42212574893853716
high,openai_text-davinci-003,bigscience_bloomz-7b1,0.4455067893852208
