model,split_half_r,sb_corrected
google_text-bison-001,0.8838394466892932,0.9383384005920195
openai_gpt-4,0.8568876929107063,0.922928937686607
google_flan-t5-xl,0.8410240531942685,0.9136480881225314
openai_text-davinci-002,0.8289394510929742,0.906470086363548
anthropic_claude-instant-v1.1,0.8202993671647592,0.9012796268148261
anthropic_claude-v1.3,0.8191060031972661,0.9005588478709905
openai_gpt-3.5-turbo,0.7927289299267225,0.8843823700207986
openai_text-davinci-003,0.7885446904428817,0.8817724205120323
cohere_command-xlarge,0.7611004954169274,0.8643464667662165
bigscience_bloomz-7b1,0.6440388186813535,0.7834837126265942
meta_opt-iml-max-small,0.6360590393402981,0.7775502277677874
ai21_j2-jumbo-instruct,0.6100161013645313,0.757776398444123
