model,split_half_r,sb_corrected
google_text-bison-001,0.40029769597760295,0.5717322782540741
anthropic_claude-instant-v1.1,0.3743408068887905,0.5447568827359742
meta_opt-iml-max-small,0.30806071821236225,0.47101898852733365
cohere_command-xlarge,0.26428060123835406,0.41807269838593275
anthropic_claude-v1.3,0.2579958480873346,0.4101696336750129
openai_text-davinci-002,0.2453712520656887,0.3940531815853194
ai21_j2-jumbo-instruct,0.23010522454754448,0.3741228310483462
bigscience_bloomz-7b1,0.22965398612827262,0.3735261930900877
openai_gpt-4,0.1978017188036931,0.33027456163821167
openai_gpt-3.5-turbo,0.17001956213739294,0.29062687093333894
google_flan-t5-xl,0.10712189756685808,0.19351418809849544
openai_text-davinci-003,0.03845715621435182,0.07406594674458333
