model,item,form,order,item_x_form,item_x_order,form_x_order,resid_3way,seed_within_cell_var,_n_items
ai21_j2-jumbo-instruct,0.35905988321421545,0.00010485601207943001,0.0005532198618039669,0.28876201139035446,0.08307993618934124,0.13763802662150165,0.13080206671070382,0.17795020901936057,680
anthropic_claude-instant-v1.1,0.5766951399583788,0.001789946580529162,0.09219894694002576,0.10564923260063272,0.11966829093891254,0.018469704415178905,0.08552873856634216,0.02339742841581077,680
anthropic_claude-v1.3,0.6105978302369964,0.022007846657092368,0.08551916077519922,0.11265777409319155,0.060064628114668485,0.029633680446625676,0.07951907967622632,0.12010611188920012,680
bigscience_bloomz-7b1,0.3490123560188225,0.010476936347607617,0.17300815349443813,0.2581914401586336,0.07011504496170427,0.015489881800942462,0.12370618721785129,0.16057701662016446,679
cohere_command-xlarge,0.4517121745752512,0.005362955853376697,0.10965491389901547,0.22186940888634668,0.06970677345398965,0.028339889318191924,0.11335388401382841,0.146838721599751,680
google_flan-t5-xl,0.6655005816224497,0.008606412939710905,0.002646796380070234,0.2536101595859129,0.02424562547031014,0.005685008607072936,0.03970541539447323,0.11885056800497977,680
google_text-bison-001,0.718718345466145,0.009495249054641709,0.03796962385470705,0.11892989375950737,0.04343057811871519,0.0021824146767643153,0.0692738950695193,0.1392407124501131,656
meta_opt-iml-max-small,0.4275772182445247,0.0028902985694702035,0.005312760344216852,0.33729069282015595,0.08065408219930767,0.00793058610434267,0.13834436171798198,0.1672783418923125,680
openai_gpt-3.5-turbo,0.6056558634737005,0.018634149398506775,0.0025571576473969837,0.18860432431837643,0.06903554673684897,0.003484352995056279,0.11202860543011402,0.031772473666206634,659
openai_gpt-4,0.7919193839981874,0.013862157992033908,0.0008119189587604495,0.09547085074924108,0.033830180550161564,0.0024594767550696513,0.06164603099654563,0.035983407251789605,680
openai_text-davinci-002,0.35150461411369616,0.001332527307230374,0.13720132090504222,0.17420211698869056,0.03661403224462979,0.2345239827021889,0.06462140573852208,0.08449074074074074,680
openai_text-davinci-003,0.33530661747642043,0.044006254287342,0.08885683766052878,0.19023733450167352,0.0394898408121911,0.24950563633252734,0.05259747892931681,0.010578442591684377,679
