model,item,form,order,item_x_form,item_x_order,form_x_order,resid_3way,seed_within_cell_var,_n_items
ai21_j2-jumbo-instruct,0.1761663029106067,0.27144593584588766,0.0016187105385631303,0.21557698223549518,0.10341635563803522,0.061904239876527226,0.16987147295488494,0.11066292956373386,685
anthropic_claude-instant-v1.1,0.2962182897792411,0.00031893941620859994,0.0030100826008994217,0.264230283077104,0.214081836620712,0.0005041300449748597,0.22163643846086012,0.001310043668122271,687
anthropic_claude-v1.3,0.33991242685899636,0.009498336786497922,0.004020123510863469,0.2660484826701424,0.11288525785925213,0.03722889230394765,0.23040648001030017,0.026293870289503477,687
bigscience_bloomz-7b1,0.16455691869410025,0.2675712774897363,0.14341693255942148,0.18457957698634442,0.0846953600876666,0.03635942713519376,0.11882050704753716,0.11635532912825489,687
cohere_command-xlarge,0.25002876471962393,0.22125596156439925,0.001429817488119525,0.21782671573853601,0.11268104514378162,0.008389077083326356,0.1883886182622133,0.11848300970873786,687
google_flan-t5-xl,0.21608295094419464,0.4410011296511014,0.01862823499604919,0.13157876606422692,0.053130434028697396,0.037354830453432304,0.10222365386229809,0.08193029273815301,687
google_text-bison-001,0.4604093355685061,0.03177870933409766,0.010141619463686406,0.22041352126184904,0.08996596757875493,0.007350077508944264,0.17994076928416172,0.02350479940930347,665
meta_opt-iml-max-small,0.19935040431948367,0.27428109190293687,0.059578746393392376,0.18578777710541303,0.06446449595999708,0.09533288416547578,0.12120460015330124,0.10295164159792981,687
openai_gpt-3.5-turbo,0.18831485967088246,0.0529984137509399,0.012423008628672355,0.31395623281026586,0.13356267249193665,0.02851269928978148,0.27023211335752123,0.0051188743328481326,687
openai_gpt-4,0.22885694691318267,0.004137216756008405,0.00033870313090452814,0.26508978432168373,0.21696594773894654,0.0027936010301057358,0.2818178001091683,0.0011887433284813198,687
openai_text-davinci-002,0.10977474833584992,0.2789387472942326,0.11719317959649495,0.0825868446844188,0.04064738078829228,0.29642043443939714,0.0744386648613144,0.04128043355172692,687
openai_text-davinci-003,0.08709382282795883,0.2017543741726119,0.08754405876211886,0.15736765343282205,0.09251648279138655,0.21295246666892972,0.16077114134417209,0.008323222518806116,686
